Crop_Name,Category,Avg_Harvest_Days,Market_Demand,Home_Growable,Health_Benefit,Intercropping_Possibility
Heat-Tolerant Coriander,Herb/Medicinal,41,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Fenugreek,Vegetable,95,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Garlic,Spice,220,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Onion,Vegetable,118,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Black Pepper,Vegetable,63,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Coriander,Herb/Medicinal,89,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Mulberry,Fruit,159,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Early-Maturing Coriander Seed,Vegetable,100,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Black Gram,Vegetable,66,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Capsicum,Vegetable,47,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Pineapple,Fruit,241,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cold-Tolerant Garlic,Spice,249,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Mustard,Oilseed,144,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Late-Maturing Castor,Oilseed,109,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Coffee,Cash/Plantation,305,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Organic Mustard,Oilseed,131,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Heat-Tolerant Carrot,Vegetable,110,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Sugarcane,Cash/Plantation,521,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Grapes,Fruit,274,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
High-Yield Lime,Fruit,320,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Mulberry,Fruit,217,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Early-Maturing Jackfruit,Fruit,345,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Sapota,Fruit,286,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Rice,Grain,146,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Early-Maturing Thyme,Herb/Medicinal,103,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Lettuce,Vegetable,84,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Saffron,Spice,172,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Saffron,Spice,219,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Local Linseed,Oilseed,136,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Orange,Fruit,364,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Saffron,Spice,295,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Cold-Tolerant Rice,Grain,128,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Organic Castor,Oilseed,124,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Cardamom,Spice,146,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Grapes,Fruit,173,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Fenugreek,Vegetable,71,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Linseed,Oilseed,136,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Hybrid Cucumber,Vegetable,117,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Pomegranate,Fruit,104,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Local Pineapple,Fruit,148,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Methi,Vegetable,111,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Soybean,Oilseed,153,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Organic Turmeric,Spice,252,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Late-Maturing Mustard,Oilseed,125,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Dwarf Snake Gourd,Vegetable,117,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Black Pepper,Vegetable,112,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Jackfruit,Fruit,323,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Kidney Bean,Vegetable,84,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Custard Apple,Fruit,267,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cold-Tolerant Cowpea,Pulse,93,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Dwarf Castor,Oilseed,105,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Blueberry,Fruit,91,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Finger Millet,Vegetable,79,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Ginger,Spice,221,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Hybrid Apple,Fruit,136,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Pear,Fruit,96,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Cocoa,Cash/Plantation,463,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Tobacco,Cash/Plantation,389,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Mango,Fruit,295,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Late-Maturing Mulberry,Fruit,358,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Ginger,Spice,172,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Local Guava,Fruit,175,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Barley,Grain,136,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Heat-Tolerant Groundnut,Oilseed,156,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Coriander Seed,Vegetable,106,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Rosemary,Herb/Medicinal,107,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Lemongrass,Herb/Medicinal,142,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Aloe Vera,Vegetable,109,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Mustard Seed,Vegetable,72,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Basil,Herb/Medicinal,48,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Soybean,Oilseed,115,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Black Gram,Vegetable,59,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Guava,Fruit,257,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Oats,Grain,151,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Spinach,Vegetable,86,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Methi,Vegetable,93,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Bay Leaf,Vegetable,49,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Sesame,Oilseed,129,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Cumin,Spice,192,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Sugarcane,Cash/Plantation,401,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Pineapple,Fruit,288,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Rosemary,Herb/Medicinal,147,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Coriander Seed,Vegetable,75,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Lime,Fruit,280,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Mustard,Oilseed,155,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Basil,Herb/Medicinal,127,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Ginger,Spice,162,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Early-Maturing Cabbage,Vegetable,118,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Bottle Gourd,Vegetable,80,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Okra,Vegetable,65,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cauliflower,Vegetable,91,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Green Gram,Vegetable,92,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Black Pepper,Vegetable,74,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Sapota,Fruit,282,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Local Mustard Seed,Vegetable,107,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cocoa,Cash/Plantation,399,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Banana,Fruit,162,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cauliflower,Vegetable,49,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cotton,Cash/Plantation,376,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Pear,Fruit,171,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Cardamom,Spice,133,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Lemongrass,Herb/Medicinal,162,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Kidney Bean,Vegetable,120,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Strawberry,Fruit,324,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Tobacco,Cash/Plantation,376,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Local Cumin,Spice,143,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Lime,Fruit,274,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Ginger,Spice,285,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Fenugreek Seed,Vegetable,104,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Lentil,Pulse,72,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Hybrid Mustard Seed,Vegetable,80,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Basil,Herb/Medicinal,111,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dill,Herb/Medicinal,172,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Methi,Vegetable,49,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Lentil,Pulse,131,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Local Lentil,Pulse,132,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Dwarf Cotton,Cash/Plantation,465,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Coconut,Fruit,299,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Lemongrass,Herb/Medicinal,63,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Sorghum,Grain,149,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Tulsi,Herb/Medicinal,99,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Barley,Grain,136,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Ginger,Spice,296,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Dwarf Papaya,Fruit,257,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Late-Maturing Aloe Vera,Vegetable,115,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Coriander,Herb/Medicinal,170,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Tea,Cash/Plantation,394,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Dwarf Linseed,Oilseed,143,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Banana,Fruit,331,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Early-Maturing Clove,Spice,162,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Potato,Vegetable,57,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Lemongrass,Herb/Medicinal,179,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Mustard,Oilseed,151,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Rubber,Cash/Plantation,323,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Chilli,Vegetable,112,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Coriander Seed,Vegetable,113,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Pear,Fruit,274,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Spinach,Vegetable,78,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Coriander Seed,Vegetable,118,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Cocoa,Cash/Plantation,465,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Potato,Vegetable,74,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Apple,Fruit,235,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Bottle Gourd,Vegetable,57,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Clove,Spice,131,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Oats,Grain,135,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Jackfruit,Fruit,231,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Chilli,Vegetable,119,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Turmeric,Spice,244,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Okra,Vegetable,80,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Lemon,Fruit,167,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cumin,Spice,219,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
High-Yield Aloe Vera,Vegetable,56,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Carrot,Vegetable,100,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Cumin,Spice,137,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
High-Yield Lime,Fruit,239,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Green Gram,Vegetable,56,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Mustard,Oilseed,131,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Local Custard Apple,Fruit,134,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Sunflower,Oilseed,114,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Beetroot,Vegetable,62,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Turmeric,Spice,183,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Hybrid Bitter Gourd,Vegetable,60,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Saffron,Spice,179,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Organic Kidney Bean,Vegetable,48,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Pomegranate,Fruit,300,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Local Finger Millet,Vegetable,55,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Pigeon Pea,Vegetable,104,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cumin,Spice,181,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Dwarf Cucumber,Vegetable,86,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Sugarcane,Cash/Plantation,487,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Cotton,Cash/Plantation,318,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Early-Maturing Brinjal,Vegetable,66,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Orange,Fruit,222,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Turmeric,Spice,271,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Heat-Tolerant Basil,Herb/Medicinal,36,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Bottle Gourd,Vegetable,89,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Coconut,Fruit,149,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
High-Yield Cowpea,Pulse,100,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Cold-Tolerant Pineapple,Fruit,144,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Local Dill,Herb/Medicinal,96,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Grapes,Fruit,203,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Sapota,Fruit,161,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Lentil,Pulse,100,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Hybrid Ginger,Spice,239,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Local Barley,Grain,130,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Turmeric,Spice,163,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Basil,Herb/Medicinal,172,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Ridge Gourd,Vegetable,71,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Apple,Fruit,273,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Late-Maturing Sugarcane,Cash/Plantation,315,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Beetroot,Vegetable,66,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Fenugreek Seed,Vegetable,93,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Pomegranate,Fruit,335,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Garlic,Spice,276,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Organic Castor,Oilseed,111,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Local Soybean,Oilseed,152,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Late-Maturing Chilli,Vegetable,89,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Spinach,Vegetable,103,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Finger Millet,Vegetable,50,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Coriander,Herb/Medicinal,69,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Bay Leaf,Vegetable,103,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Saffron,Spice,226,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Late-Maturing Kidney Bean,Vegetable,84,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Garlic,Spice,238,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Early-Maturing Lettuce,Vegetable,50,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Mango,Fruit,114,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Mulberry,Fruit,144,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cinnamon,Spice,272,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Ginger,Spice,181,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Tomato,Vegetable,73,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Brinjal,Vegetable,48,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Coriander,Herb/Medicinal,37,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cucumber,Vegetable,108,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Coriander,Herb/Medicinal,76,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Cotton,Cash/Plantation,388,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
High-Yield Black Gram,Vegetable,79,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Aloe Vera,Vegetable,95,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Carrot,Vegetable,111,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Finger Millet,Vegetable,102,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Pigeon Pea,Vegetable,54,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Custard Apple,Fruit,273,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Black Pepper,Vegetable,100,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Papaya,Fruit,214,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Black Gram,Vegetable,59,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Sunflower,Oilseed,131,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Coffee,Cash/Plantation,412,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Thyme,Herb/Medicinal,69,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Wheat,Grain,101,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Late-Maturing Coffee,Cash/Plantation,352,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Late-Maturing Pomegranate,Fruit,227,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Garlic,Spice,238,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
High-Yield Fenugreek Seed,Vegetable,56,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Radish,Vegetable,83,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Castor,Oilseed,120,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Cocoa,Cash/Plantation,365,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Cold-Tolerant Bay Leaf,Vegetable,86,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Clove,Spice,218,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Heat-Tolerant Fenugreek,Vegetable,85,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Cotton,Cash/Plantation,512,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Cold-Tolerant Cowpea,Pulse,145,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
